wavelength #   1     0.355 (um)
   #      sza      vis      fis  sca_ang         meas_I          fit_I
   1    65.63    65.59   311.50   136.07    0.22578E+00    0.21935E+00
   2    65.63    47.08   309.72   135.01    0.16728E+00    0.16632E+00
   3    65.63     4.40   265.78   113.97    0.11637E+00    0.11054E+00
   4    65.63    41.53   224.14    82.85    0.13056E+00    0.14207E+00
   5    65.63    60.58   226.15    69.70    0.20218E+00    0.20766E+00
wavelength #   2     0.377 (um)
   #      sza      vis      fis  sca_ang         meas_I          fit_I
   1    65.63    65.37   311.49   136.10    0.18016E+00    0.19981E+00
   2    65.63    46.94   309.70   134.98    0.13472E+00    0.14969E+00
   3    65.63     4.33   264.77   113.91    0.99933E-01    0.99593E-01
   4    65.63    41.71   224.16    82.72    0.11181E+00    0.13245E+00
   5    65.63    60.76   226.16    69.57    0.17819E+00    0.19960E+00
wavelength #   3     0.443 (um)
   #      sza      vis      fis  sca_ang         meas_I          fit_I
   1    65.63    65.17   311.48   136.12    0.15667E+00    0.17006E+00
   2    65.63    46.79   309.69   134.95    0.12047E+00    0.13243E+00
   3    65.63     4.25   263.64   113.83    0.11118E+00    0.97827E-01
   4    65.63    41.86   224.18    82.61    0.11582E+00    0.12888E+00
   5    65.63    60.99   226.18    69.42    0.19917E+00    0.19365E+00
wavelength #   4     0.469 (um)
   #      sza      vis      fis  sca_ang         meas_I          fit_I
   1    65.63    64.98   311.46   136.14    0.15069E+00    0.15383E+00
   2    65.63    46.64   309.67   134.92    0.11723E+00    0.11909E+00
   3    65.63     4.17   262.41   113.76    0.11319E+00    0.88212E-01
   4    65.63    41.96   224.19    82.54    0.11638E+00    0.11889E+00
   5    65.63    61.08   226.18    69.36    0.20271E+00    0.18310E+00
   #      sza      vis      fis  sca_ang       meas_Q/I        fit_Q/I
   1    65.63    64.98   311.46   136.14    0.26075E+00    0.24053E+00
   2    65.63    46.64   309.67   134.92    0.21489E+00    0.20400E+00
   3    65.63     4.17   262.41   113.76    0.36538E+00    0.29994E+00
   4    65.63    41.96   224.19    82.54    0.41022E+00    0.39673E+00
   5    65.63    61.08   226.18    69.36    0.33363E+00    0.35244E+00
   #      sza      vis      fis  sca_ang       meas_U/I        fit_U/I
   1    65.63    64.98   311.46   136.14   -0.12713E-01   -0.62928E-02
   2    65.63    46.64   309.67   134.92   -0.48715E-01    0.21417E-01
   3    65.63     4.17   262.41   113.76   -0.13406E-01    0.26655E-02
   4    65.63    41.96   224.19    82.54   -0.24300E-01   -0.26784E-01
   5    65.63    61.08   226.18    69.36   -0.52599E-01   -0.47035E-01
wavelength #   5     0.553 (um)
   #      sza      vis      fis  sca_ang         meas_I          fit_I
   1    65.63    64.63   311.44   136.18    0.11367E+00    0.12252E+00
   2    65.63    46.37   309.64   134.86    0.91078E-01    0.96259E-01
   3    65.63     3.99   259.04   113.56    0.99181E-01    0.73992E-01
   4    65.63    42.14   224.22    82.41    0.91806E-01    0.10076E+00
   5    65.63    61.34   226.20    69.19    0.16692E+00    0.15912E+00
wavelength #   6     0.659 (um)
   #      sza      vis      fis  sca_ang         meas_I          fit_I
   1    65.63    64.30   311.42   136.21    0.92622E-01    0.92065E-01
   2    65.63    46.09   309.61   134.80    0.74762E-01    0.71462E-01
   3    65.63     3.80   255.11   113.34    0.86411E-01    0.54536E-01
   4    65.63    42.54   224.27    82.13    0.72625E-01    0.76693E-01
   5    65.63    61.63   226.22    68.99    0.13540E+00    0.12645E+00
   #      sza      vis      fis  sca_ang       meas_Q/I        fit_Q/I
   1    65.63    64.30   311.42   136.21    0.22752E+00    0.22526E+00
   2    65.63    46.09   309.61   134.80    0.16871E+00    0.19375E+00
   3    65.63     3.80   255.11   113.34    0.44787E+00    0.31088E+00
   4    65.63    42.54   224.27    82.13    0.44533E+00    0.43948E+00
   5    65.63    61.63   226.22    68.99    0.38487E+00    0.38943E+00
   #      sza      vis      fis  sca_ang       meas_U/I        fit_U/I
   1    65.63    64.30   311.42   136.21   -0.17115E-01   -0.22302E-02
   2    65.63    46.09   309.61   134.80   -0.34969E-01    0.15644E-01
   3    65.63     3.80   255.11   113.34    0.85672E-03    0.41338E-02
   4    65.63    42.54   224.27    82.13   -0.19912E-01   -0.18882E-01
   5    65.63    61.63   226.22    68.99   -0.32385E-01   -0.33260E-01
wavelength #   7     0.864 (um)
   #      sza      vis      fis  sca_ang         meas_I          fit_I
   1    65.63    63.87   311.39   136.25    0.96407E-01    0.10000E+00
   2    65.63    45.64   309.56   134.69    0.10030E+00    0.85596E-01
   3    65.63     3.61   250.00   113.09    0.83169E-01    0.72221E-01
   4    65.63    42.94   224.31    81.84    0.73952E-01    0.85162E-01
   5    65.63    62.02   226.25    68.74    0.10608E+00    0.11802E+00
   #      sza      vis      fis  sca_ang       meas_Q/I        fit_Q/I
   1    65.63    63.87   311.39   136.25    0.12867E+00    0.14385E+00
   2    65.63    45.64   309.56   134.69    0.76859E-01    0.11701E+00
   3    65.63     3.61   250.00   113.09    0.29568E+00    0.18316E+00
   4    65.63    42.94   224.31    81.84    0.24927E+00    0.31513E+00
   5    65.63    62.02   226.25    68.74    0.31580E+00    0.33358E+00
   #      sza      vis      fis  sca_ang       meas_U/I        fit_U/I
   1    65.63    63.87   311.39   136.25   -0.11082E-01    0.12791E-03
   2    65.63    45.64   309.56   134.69   -0.10366E-01    0.71694E-02
   3    65.63     3.61   250.00   113.09   -0.55274E-02    0.23096E-02
   4    65.63    42.94   224.31    81.84   -0.35454E-02   -0.91165E-02
   5    65.63    62.02   226.25    68.74   -0.25758E-01   -0.18903E-01
